day_pass_id,purchaser_id,date,pass_type,group_ages
113,3479,2024-06-08,Family,"32,58,32,13,25"
114,4467,2024-11-24,Single,"12,26,10,7,55,11"
115,7557,2023-07-17,Family,"48,52,54,36,51,23"
116,3601,2024-08-29,Single,"35,44,17"
117,9948,2024-09-16,Single,14
118,6290,2025-01-11,Student,"25,19,16,20,36"
119,8103,2024-11-13,Student,"37,54,51,20,11"
120,5036,2024-12-15,Student,"51,21,33"
121,4471,2025-01-23,Student,"6,37,33,29,54"
122,8763,2024-06-25,Student,"43,54,24,22,17,49"
123,3676,2023-11-09,Family,"6,46,53,17,17,22"
124,6279,2024-03-26,Single,"28,16"
125,8470,2024-04-30,Single,"14,48,19,12,33"
126,6703,2023-06-10,Family,45
127,5782,2024-09-18,Single,"41,15,45,42,38,29"
128,8124,2023-11-25,Student,"19,40,16,43,37,26"
129,7242,2023-06-08,Family,"37,11,55,19,21"
130,3157,2024-07-30,Family,"5,19,46,19,27,52"
131,1470,2025-02-11,Family,"27,37,10,49,38"
132,3060,2024-05-06,Single,"44,37,23"
133,1144,2023-04-28,Family,54
134,2233,2024-04-25,Student,"15,26,17,14,7,10"
135,9824,2025-02-18,Family,"9,34,29,47,48"
136,7382,2023-04-17,Student,"39,14,40,21,7,47"
137,7171,2024-06-18,Student,"53,26,11,53,17,8"
138,3629,2024-12-09,Single,"21,24,24,37,14"
139,5448,2024-01-28,Student,"37,8,16,38,17,13"
140,3946,2023-11-17,Family,13
141,3027,2024-08-15,Student,41
142,2124,2024-06-17,Student,"44,50,20,24"
143,7075,2024-08-31,Student,51
144,6275,2023-12-03,Student,"50,45,35"
145,8636,2023-12-18,Single,8
146,3458,2025-03-03,Family,"17,43,35,35,47"
147,1335,2024-12-14,Student,"50,7"
148,9995,2024-08-18,Single,"60,41"
149,7822,2024-07-08,Single,"27,41,15,15,29"
150,7799,2024-06-11,Student,"17,48,40,32"
151,8272,2024-09-17,Student,"15,60"
152,5577,2025-02-18,Single,"7,6,7,50,25,54"
153,4563,2023-11-08,Family,"44,22,8,57"
154,8132,2023-07-18,Student,16
155,7644,2024-05-06,Single,"47,41,36,43,23,47"
156,2580,2023-04-23,Family,"43,50,35,6,35"
157,9220,2023-12-01,Family,"18,11,42"
158,9640,2023-04-16,Single,"11,47,38,16"
159,4452,2024-11-08,Single,"16,52,32"
160,7821,2025-03-09,Family,44
161,8330,2024-04-29,Family,"29,51,55,23"
162,3706,2023-10-20,Single,"36,32"
163,7387,2023-05-28,Single,"49,6,19"
164,3725,2025-03-04,Family,"9,36"
165,5133,2024-09-13,Single,"28,43,50,44,37"
166,812,2023-12-02,Student,"18,48,28,21,57"
167,9985,2024-02-23,Single,35
168,4020,2023-07-21,Student,"47,29,33"
169,8123,2024-01-19,Family,"22,34,20,44,60"
170,3408,2023-11-18,Student,58
171,6708,2024-07-03,Family,"42,6,33,31,52,57"
172,6193,2023-05-06,Family,"21,35,47,45,28,24"
173,8967,2024-08-05,Student,"29,24"
174,1607,2024-05-27,Single,"43,49"
175,4226,2023-04-18,Family,"52,51,7,16,32"
176,7148,2024-07-24,Family,"36,52,16"
177,3317,2023-07-08,Single,"49,53,22,56"
178,7815,2023-05-13,Family,"22,43,33,9,40"
179,8384,2023-04-28,Family,33
180,9785,2023-08-14,Single,"10,52"
181,9620,2023-06-03,Single,"11,23,35,15"
182,5222,2023-12-11,Family,"24,44,15,54"
183,4666,2024-07-05,Family,"52,30"
184,802,2024-06-14,Student,"31,44,9,58"
185,9912,2023-08-17,Student,"55,31,17,14,10,15"
186,5957,2024-06-12,Student,18
187,2184,2024-06-22,Student,"5,41,38,60"
188,8064,2024-04-03,Family,"7,13,34,15,51"
189,8702,2024-04-12,Family,"49,44"
190,3614,2025-03-14,Family,"6,46,14,31,22"
191,3067,2024-11-24,Student,"16,32,20"
192,1282,2024-01-18,Single,"50,38,45,24,8,14"
193,3248,2024-04-17,Family,"16,47,35"
194,5409,2024-12-01,Student,"29,7"
195,1852,2025-03-15,Family,"49,49"
196,2431,2023-12-26,Student,"39,32,57,38"
197,1819,2024-10-19,Family,"19,54,5,46"
198,7715,2024-10-21,Student,12
199,8047,2023-07-22,Family,"34,53"
200,1062,2024-02-19,Family,14
201,8200,2024-08-12,Student,"21,23"
202,1850,2023-08-07,Family,"23,7,23"
203,5144,2025-02-20,Student,"47,22,30"
204,381,2024-06-17,Single,"13,35,18,46,60"
205,9161,2025-03-14,Family,"29,26,20"
206,9094,2024-05-10,Single,"37,6,31,58"
207,1266,2023-04-28,Student,"51,14,45"
208,90,2025-03-05,Single,"28,53"
209,6066,2024-04-22,Family,32
210,3315,2024-12-09,Student,"49,17,37"
211,6845,2024-06-07,Single,"40,10,55,40,11,36"
212,762,2023-07-27,Single,"31,47,51,59,35,8"
213,8191,2024-06-24,Student,"23,18,24,34,35"
214,3736,2024-11-13,Family,"8,10,28,23,49,29"
215,6789,2023-05-06,Family,"57,6,33,26,41"
216,3719,2024-03-18,Family,"13,44,10,13,41"
217,6342,2023-05-22,Student,"37,54,14,58"
218,7238,2024-03-05,Single,"39,26"
219,9922,2024-06-16,Single,"12,7,38,17,55,8"
220,2522,2024-07-17,Student,"10,42,43,16,22,58"
221,8222,2023-07-07,Single,"31,17"
222,5907,2024-12-19,Student,"21,47,13,20,11"
223,9752,2024-01-11,Student,"33,7,18,28,39"
224,2352,2024-03-26,Family,"51,14,54"
225,2244,2024-06-27,Family,"8,5,23"
226,2365,2025-02-14,Single,"15,36,40,18,27"
227,2330,2023-10-08,Family,45
228,5236,2024-01-26,Single,"27,54,25,51"
229,4955,2023-09-02,Single,52
230,2203,2024-03-09,Family,30
231,1597,2023-11-07,Single,"6,11,31,5"
232,2127,2024-03-20,Student,49
233,8362,2025-03-10,Student,"35,57"
234,7620,2023-12-19,Student,"19,18,24,35,57"
235,9412,2024-01-17,Single,"30,51,12,48,10,9"
236,2927,2024-02-09,Family,"14,49,44,16,58"
237,9333,2025-01-04,Family,"46,56,52,9,57"
238,23,2024-08-26,Family,"51,39,23,21"
239,9616,2023-09-12,Student,"9,24,24,17"
240,1341,2023-05-05,Single,"45,17"
241,5686,2024-02-23,Single,"18,7,7,52,35,18"
242,7497,2025-01-14,Family,53
243,4455,2024-04-25,Student,"53,11,13,41,45,19"
244,6946,2023-09-07,Family,"47,9,32,60,53,59"
245,7390,2023-10-26,Single,"6,56,51,18,53"
246,4177,2023-07-29,Single,"11,33"
247,5893,2024-08-19,Family,35
248,9876,2024-02-13,Family,"16,31,15"
249,2257,2023-06-05,Student,"8,47,31,6"
250,9501,2024-08-14,Student,"17,5,31,36,30,51"
251,7008,2024-06-08,Student,"40,20"
252,7677,2025-01-19,Student,"10,50,48"
253,9648,2024-04-27,Family,"27,42,53"
254,1747,2024-05-17,Single,"11,33,40"
255,5159,2024-03-21,Student,32
256,3416,2024-11-26,Family,"36,14,10,42"
257,7833,2023-12-15,Single,"58,50,54,38"
258,9608,2024-09-26,Student,"47,8,12,55,6"
259,9163,2024-06-22,Single,"40,50,59,53,29"
260,4281,2024-10-28,Student,"47,15"
261,5415,2023-08-29,Family,"20,36"
262,8469,2023-08-11,Single,"28,55,59,16"
263,8458,2023-10-27,Single,"12,45,13,19"
264,2172,2023-10-26,Single,"9,33,56,13,27,28"
265,5770,2024-12-03,Family,"24,51,20"
266,5337,2023-04-28,Student,"15,23,41"
267,7426,2024-07-17,Student,"17,60,39"
268,5163,2024-09-14,Single,"54,9,45,10"
269,7252,2024-02-07,Student,"30,47"
270,1750,2023-04-19,Student,"49,11"
271,6362,2023-09-07,Family,27
272,8527,2024-04-17,Single,"51,8,38,59"
273,2114,2024-07-16,Single,"10,57,13,47,12"
274,6082,2023-07-22,Student,"60,13,59"
275,2263,2025-03-23,Single,"35,12,5,15,45"
276,2063,2023-08-19,Single,"36,53"
277,4370,2024-09-12,Family,37
278,9247,2024-12-22,Student,"27,42,32,12,49"
279,6806,2025-03-16,Family,"41,12,41,22,21,41"
280,543,2023-06-29,Single,"51,29"
281,9538,2023-07-22,Family,26
282,9281,2024-03-17,Student,25
283,5460,2023-12-17,Single,"16,24"
284,7422,2024-10-23,Single,"27,31,54,15,8"
285,7926,2023-08-15,Single,"11,49,20"
286,1864,2023-09-08,Family,"42,44,39,48"
287,7541,2024-07-31,Family,18
288,7870,2023-08-05,Family,"60,24,31,16,25,41"
289,6274,2023-08-29,Student,"42,47,20"
290,3026,2024-09-17,Single,"30,37,56,36"
291,2659,2024-01-12,Student,17
292,1524,2023-09-23,Single,"20,9"
293,2186,2023-07-28,Student,"29,30"
294,2162,2024-12-31,Student,"8,60,32,36,50"
295,7739,2024-11-27,Student,10
296,906,2024-04-12,Single,"22,33"
297,2013,2024-06-15,Student,"59,40,37"
298,663,2024-05-23,Family,"22,39,45"
299,7389,2024-10-19,Student,"35,58,45,21,40"
300,3633,2025-03-12,Student,"29,33,8,30,24"
301,875,2024-12-27,Student,"9,44,9,41,20"
302,5367,2024-05-09,Student,"51,23,34,13,60,15"
303,3650,2023-10-03,Single,"57,28,16,7"
304,2804,2024-09-29,Single,"50,9,28,55,39"
305,5521,2023-06-13,Single,12
306,8145,2023-06-28,Family,"11,51,54"
307,9794,2023-07-31,Family,"59,57,17,32"
308,1392,2023-06-16,Single,"41,17,35,32,11,48"
309,5725,2024-01-05,Student,"33,10,40"
310,7431,2024-09-03,Single,"5,25,23"
311,4574,2024-08-24,Family,12
312,5113,2024-10-14,Family,"11,37,47,48,12,16"
313,5944,2024-03-12,Family,"31,42,48,25,44,39"
314,4417,2023-05-11,Single,60
315,7872,2024-07-07,Family,"52,46,40,52,58,52"
316,695,2024-10-26,Student,"31,39,60,22,58"
317,11,2024-12-29,Student,"12,10,10,26,5,42"
318,433,2023-05-30,Family,47
319,4588,2025-02-07,Family,"58,27,28,22,10,38"
320,6591,2024-02-02,Student,"8,14,32,12,57"
321,2753,2025-02-22,Single,"38,52,60,22,44"
322,6605,2024-12-31,Student,59
323,6266,2024-01-01,Family,"49,53,56,9,56,29"
324,1424,2024-01-30,Student,"13,38,23,11,51,5"
325,6254,2024-06-18,Student,"51,55,40,31,47"
326,1955,2023-12-16,Single,"22,52,24,45,40"
327,5881,2023-12-01,Single,"49,42"
328,4406,2024-06-22,Family,"51,53,50,51,42,23"
329,9666,2024-02-23,Single,"22,60,34"
330,8589,2023-05-28,Family,"43,17"
331,9566,2025-01-24,Student,"9,13"
332,2257,2023-09-24,Student,"8,39,55,53,59"
333,2036,2024-04-20,Family,48
334,4091,2023-06-07,Single,"45,54,41,50,10,8"
335,8474,2024-11-25,Family,"14,40,21,43,36"
336,9638,2023-05-04,Single,"39,28,27,11,10,15"
337,9827,2023-11-17,Single,54
338,2498,2023-08-20,Student,"45,33,22,41,35"
339,2918,2024-02-16,Family,"60,28,13,42,8"
340,2354,2023-12-15,Single,"17,32,33,20,33,20"
341,6565,2024-08-26,Student,"9,51,25"
342,6082,2024-07-05,Student,"60,37"
343,4287,2023-10-02,Single,"8,59,14,32,56"
344,5550,2025-01-30,Single,"51,24,41,40,11"
345,8925,2023-08-23,Single,"7,53,28,43,25"
346,2289,2025-01-14,Family,"17,6,44,59,55,20"
347,8113,2024-01-31,Student,"50,29,10,19,59,7"
348,7637,2023-08-23,Family,"31,58,43,6,30"
349,2476,2025-02-01,Single,"9,9,8,48,26,59"
350,9202,2023-09-01,Student,"55,53,25,27"
351,8010,2024-08-10,Single,"25,27,29,44,30"
352,4142,2023-07-11,Student,"8,47,11,23,57,54"
353,1135,2023-04-30,Family,"29,39,60,43,52,55"
354,5403,2024-05-06,Family,"18,45,24,15,55,30"
355,1578,2024-07-21,Family,"23,28,50,36,55,12"
356,3890,2023-07-04,Family,45
357,3968,2024-09-08,Single,"39,7,37"
358,444,2024-08-19,Student,55
359,5275,2024-09-03,Single,"35,53,56,12,29"
360,4547,2024-05-25,Single,"48,13,29"
361,9511,2023-06-24,Single,5
362,6353,2025-02-04,Single,"5,18,24,50,59"
363,7164,2024-11-30,Family,"28,34,32,10"
364,4562,2024-07-13,Single,"54,7,17,56"
365,3111,2023-11-17,Student,"13,34"
366,190,2024-03-26,Family,"35,10,46,13,28,15"
367,7896,2024-12-06,Family,"55,8,47"
368,4000,2025-03-12,Student,"9,42,54,5,40"
369,3690,2025-01-24,Student,"55,43,10"
370,3826,2024-01-25,Family,"11,24,56,5,39,19"
371,5653,2025-01-09,Student,47
372,2290,2023-12-23,Single,"59,46,30,14,35,43"
373,7315,2024-01-30,Family,"24,44,41,11"
374,5318,2025-01-16,Student,"27,15"
375,1409,2025-01-03,Single,"45,27,5,28,43"
376,4131,2024-02-18,Family,"38,13,17,55,30,34"
377,7097,2024-09-15,Single,"14,19"
378,5725,2023-12-16,Single,"33,20,57,45"
379,6981,2024-09-03,Family,13
380,3152,2025-02-27,Single,32
381,7987,2024-03-10,Student,"57,36,18,34"
382,9019,2023-12-22,Student,"45,57"
383,4003,2023-08-29,Student,"19,17,13,48,18"
384,1597,2023-12-26,Family,"6,57,6"
385,4714,2024-02-02,Student,"60,15,23,16,52,38"
386,1417,2024-12-29,Single,"31,13"
387,8633,2024-05-29,Student,"55,17,57,16,23,45"
388,5737,2023-08-14,Family,"50,22,22"
389,7579,2024-11-14,Student,"41,15"
390,508,2025-02-01,Family,"45,39,46,9,37"
391,2812,2023-05-24,Single,"7,58,13,22,18"
392,3531,2024-12-17,Student,"41,53,23"
393,3484,2025-01-25,Student,38
394,2690,2024-01-03,Student,44
395,2357,2024-03-31,Student,"31,52"
396,8274,2023-10-22,Single,"42,16,49,12"
397,5796,2025-02-17,Student,"35,21,8,14,47,21"
398,1876,2023-04-23,Student,"13,20,49,30,51"
399,8708,2023-06-25,Single,"49,30"
400,6866,2023-10-13,Single,"55,29,36,56"
401,1661,2023-07-07,Single,"49,24,31,31,34,46"
402,4486,2024-09-24,Single,"39,37,56,53"
403,9817,2024-04-27,Student,42
404,1967,2024-08-31,Family,"40,13"
405,3901,2023-07-22,Student,"31,13,40,43,47"
406,405,2023-04-20,Family,57
407,4379,2024-08-10,Family,"7,22,51,39,29,37"
408,870,2024-10-04,Family,"32,33,51,56"
409,2105,2024-03-12,Family,"41,10,60,52,52,59"
410,4694,2024-05-25,Family,28
411,1479,2024-10-29,Student,"32,18,30,59"
412,3173,2025-03-05,Student,11
413,7503,2024-04-18,Family,"17,59,37,22,56"
414,6366,2024-07-04,Single,"24,17"
415,3290,2023-05-26,Single,"39,48,22"
416,6499,2023-10-29,Student,"7,9,47,37"
417,8621,2025-01-27,Student,48
418,7433,2024-09-11,Single,"8,16"
419,456,2025-01-06,Family,"13,36,22,10,29"
420,5624,2023-04-18,Student,"15,8,53,57,15"
421,5547,2024-01-06,Single,"18,52,51,36"
422,1456,2024-09-10,Single,"60,35,42,55,35,7"
423,9978,2023-04-11,Student,"37,26,5,18"
424,6318,2024-07-10,Family,31
425,2807,2023-06-15,Family,"50,45,45,60"
426,7705,2024-08-14,Student,"52,18,55"
427,8698,2023-10-13,Student,"12,15,41,12"
428,3885,2023-06-05,Student,"17,43,29,25,5"
429,2983,2024-03-27,Student,"33,57,23,46,12,57"
430,9878,2023-05-19,Family,"10,31,36,33"
431,5565,2024-09-06,Family,"10,37,35"
432,4847,2025-03-02,Family,6
433,8631,2023-11-17,Student,"22,35,8,19,34,7"
434,5721,2023-07-06,Family,"51,48,60,45,36,8"
435,1340,2023-08-25,Family,"32,37"
436,3734,2024-11-15,Family,"31,29,42,20,40"
437,5635,2024-03-29,Student,"54,43"
438,8073,2023-12-14,Student,"5,24,52,9,34"
439,7509,2024-11-06,Student,"56,38,31"
440,3006,2024-12-23,Student,"29,59,52,30"
441,5384,2024-12-21,Family,"8,55,55,52,28,10"
442,1935,2023-06-01,Student,"57,42,28,23"
443,6798,2023-06-18,Family,59
444,5804,2023-07-08,Student,"38,48,42,18"
445,4080,2024-02-21,Single,"34,42"
446,5567,2023-04-11,Family,"13,44"
447,3136,2025-01-21,Single,"7,39,43,35"
448,8027,2024-09-21,Student,"34,18,10,29"
449,8311,2024-04-21,Single,"6,37,19,51,22"
450,8032,2024-08-20,Student,"25,8"
451,7673,2024-01-11,Student,19
452,6812,2024-08-19,Single,"42,56,41,52"
453,2882,2023-12-02,Student,"41,13,27,20"
454,634,2024-06-13,Student,"15,54,48,6"
455,8510,2023-11-04,Family,"11,45,47"
456,1399,2024-10-22,Student,"20,7"
457,8950,2024-08-18,Single,"59,14,5,16"
458,6084,2023-05-22,Family,41
459,762,2024-11-17,Family,"31,52,44"
460,9153,2023-12-25,Single,"47,30,27,60"
461,2414,2024-02-07,Family,"28,29"
462,5223,2023-06-23,Student,"48,9,27,5,28,60"
463,1927,2024-12-23,Student,"57,59,35,33,31,56"
464,7586,2024-07-16,Single,"19,25,42"
465,6211,2023-04-07,Family,"49,48,29,34"
466,3453,2024-08-03,Single,"35,39,49"
467,9543,2024-11-04,Family,"51,14"
468,1182,2023-11-23,Student,"59,26,18,24"
469,323,2024-07-11,Single,"46,48,17,56"
470,6563,2025-01-26,Family,45
471,504,2023-09-16,Single,"6,58"
472,9915,2024-08-26,Student,13
473,9576,2025-01-13,Single,"16,51"
474,3176,2024-01-03,Family,"10,16,12,31,41"
475,3475,2024-01-27,Student,"28,51,19,33,57"
476,2020,2025-03-14,Student,35
477,6009,2024-12-19,Student,"39,53"
478,5011,2023-06-04,Family,"40,10"
479,5230,2025-03-16,Family,"34,36,5,11,50,52"
480,1846,2024-05-28,Student,"16,35,26"
481,3792,2024-02-26,Student,"43,30,7,56"
482,6274,2023-06-02,Student,"42,16,60,60"
483,2664,2024-03-01,Family,"53,5"
484,3963,2024-01-03,Student,"40,29,57,44"
485,6648,2024-12-10,Family,"13,50"
486,6579,2023-06-16,Single,"15,56"
487,9202,2024-02-24,Student,"55,27,20,43"
488,2723,2024-03-25,Family,33
489,360,2024-01-05,Single,"26,38,50,30,19"
490,316,2023-09-25,Student,"36,13,57"
491,2583,2023-10-01,Family,"58,37,23,26,9,19"
492,2290,2024-04-08,Student,59
493,7745,2024-01-22,Family,"11,28"
494,8898,2024-04-04,Family,"28,5,42"
495,9044,2024-06-08,Student,"29,35,36,19,52"
496,9541,2023-05-03,Family,"47,12"
497,5760,2024-06-04,Single,"20,8,6,41,48"
498,1773,2023-10-31,Single,"20,51,26,11"
499,4062,2024-12-30,Single,"56,24,54,38,11"
500,1747,2024-06-30,Single,"11,25,18"
501,3736,2025-02-23,Student,"8,8,8,48"
502,6059,2024-09-29,Family,"8,44,9"
503,6403,2024-04-12,Single,"47,39,32"
504,4752,2024-12-25,Family,"14,19,37,31,31,30"
505,2378,2024-06-02,Student,"24,24"
506,8970,2023-11-28,Student,"59,45"
507,6623,2024-03-04,Family,"9,6"
508,9498,2024-03-17,Student,"56,55,27"
509,9021,2024-08-17,Student,"41,41,44,20"
510,811,2025-02-05,Family,"39,27,44,38"
511,6338,2023-08-13,Family,"30,20,16,35,57,57"
512,5895,2025-01-04,Single,"58,24,31,58"
513,1462,2024-10-12,Family,"48,30,35"
514,5692,2024-09-26,Student,"12,49,42,48"
515,6004,2024-10-10,Single,"8,44,60,38,51,51"
516,2015,2023-12-12,Single,"7,19,27,54,6"
517,9182,2023-11-11,Single,32
518,6775,2024-06-25,Student,"15,12,19,39,28,39"
519,6937,2023-06-03,Single,"18,26,47,35"
520,6722,2024-12-01,Student,"44,27,44,37,20"
521,1178,2024-04-26,Single,"18,60,38,31,53,41"
522,7458,2023-04-11,Family,"48,15"
523,4140,2024-04-08,Family,10
524,8857,2024-09-14,Family,"10,44,26,31"
525,7527,2023-12-30,Family,"52,37,32,34,8"
526,5200,2023-07-31,Student,"16,29,53,53,30,39"
527,3199,2023-12-07,Single,25
528,5842,2024-09-07,Student,29
529,3187,2024-10-07,Family,"33,45,48,26,12"
530,1799,2023-07-31,Single,"46,17,49,26"
531,7367,2024-05-30,Family,53
532,4110,2024-06-07,Family,"59,10"
533,3340,2023-07-09,Single,"30,5,51"
534,7643,2024-04-13,Single,"54,6,12,56,33,53"
535,4750,2023-04-26,Student,"32,24,58,15"
536,9,2023-10-30,Student,"38,36,44,23,55"
537,9697,2024-11-13,Family,"45,21"
538,2575,2024-06-05,Student,"21,9,22"
539,8619,2023-11-16,Single,"53,19,12,28,57"
540,5924,2024-07-22,Student,"10,59,51"
541,7609,2023-09-15,Single,"41,31,56,41"
542,5906,2024-01-31,Single,"55,35,27,14"
543,7676,2024-08-12,Single,"16,49"
544,3460,2023-10-22,Single,"34,12,22,12,56,44"
545,86,2025-03-11,Family,"14,52,23"
546,4403,2024-09-25,Single,"23,26,23,13"
547,3318,2024-01-23,Student,"18,25,27,41"
548,1498,2023-11-16,Single,"16,15,45,53,35,45"
549,4878,2025-01-14,Single,"32,39,47"
550,9350,2024-04-03,Student,"53,50,37"
551,9135,2023-10-03,Student,"6,21,18,16"
552,5628,2024-12-23,Single,"55,26,58,30,44,13"
553,5659,2024-08-05,Student,"19,48,20,51,14"
554,5732,2024-12-15,Single,"32,26,51,20"
555,7137,2024-08-24,Single,"52,32,58"
556,2434,2025-01-22,Single,"26,12,32"
557,3049,2024-01-05,Student,5
558,1693,2025-01-13,Family,"7,27,39,16,49,49"
559,942,2023-08-19,Single,"54,15,14,41,43"
560,1687,2023-11-14,Single,"8,28,50,52"
561,8306,2024-01-20,Single,"6,42,37,8,19"
562,1286,2023-12-28,Family,19
563,1337,2024-02-16,Family,"26,11,40,15,21,19"
564,9252,2024-05-02,Family,"42,7,36,59,11"
565,981,2023-12-03,Single,"28,45,49,41"
566,4043,2023-07-28,Family,19
567,8139,2024-12-31,Single,"25,34,53,5,21"
568,4227,2023-07-20,Single,49
569,2605,2023-11-12,Student,"9,45"
570,5851,2024-09-14,Single,"56,41"
571,5584,2024-07-18,Family,"24,43,60,36"
572,2034,2025-03-06,Family,"26,26,50"
573,313,2024-06-07,Student,"25,31"
574,9236,2024-01-25,Single,"36,22,47,14"
575,6820,2024-09-28,Student,28
576,7685,2024-01-23,Student,"31,43,8,16,57"
577,8744,2023-06-19,Student,"36,25,7"
578,4295,2024-06-20,Single,53
579,7473,2023-08-06,Family,"28,45"
580,7160,2023-06-28,Family,"55,17,21,21,14"
581,7461,2023-06-27,Single,"7,9"
582,8668,2023-10-11,Student,"43,21,32"
583,5539,2024-02-15,Family,32
584,4960,2024-10-13,Student,"27,27,41,10"
585,1139,2024-02-02,Student,"16,18"
586,4025,2024-12-17,Single,38
587,4414,2024-06-13,Student,53
