sale_id,customer_id,member_id,date,item,price
42,2356,0,2025-03-02,Water Bottle,6.93
43,8914,0,2024-01-17,Shoes Rental,16.51
44,9367,0,2023-12-18,Shoes Rental,13.04
45,1126,0,2025-03-05,Shoes Rental,31.6
46,8435,0,2025-01-05,Celsius,6.83
47,445,445,2024-05-27,T-Shirt,47.49
48,3408,0,2024-09-14,Celsius,21.62
49,4008,0,2024-02-22,Shoes Rental,6.33
50,4662,0,2024-12-27,Water Bottle,28.18
51,8278,0,2024-06-06,Gatorade,49.34
52,2977,0,2023-05-21,Protein Bar,21.74
53,2136,0,2024-02-01,Celsius,20.44
54,67,67,2023-08-08,Celsius,39.01
55,4943,0,2023-06-24,Shoes Rental,15.2
56,2954,0,2024-01-08,Protein Bar,12.96
57,8834,0,2024-05-22,Chalk Bag,5.59
58,9127,0,2023-06-30,Water Bottle,8.3
59,4994,0,2024-12-06,Celsius,30.92
60,3495,0,2023-11-11,Water Bottle,41.19
61,9520,0,2024-02-22,Chalk Bag,5.37
62,7361,0,2023-05-09,Water Bottle,5.16
63,6007,0,2023-10-26,T-Shirt,34.34
64,1216,0,2024-03-07,T-Shirt,42.09
65,6526,0,2024-09-19,Chalk Bag,48.24
66,5066,0,2024-10-24,Celsius,20.91
67,4402,0,2025-01-03,Celsius,46.43
68,7189,0,2023-06-26,T-Shirt,13.61
69,9867,0,2024-10-08,Chalk Bag,44.51
70,6365,0,2024-11-07,Chalk Bag,44.78
71,3173,0,2023-09-09,Protein Bar,24.08
72,704,704,2024-07-23,Shoes Rental,6.39
73,7502,0,2024-12-08,Water Bottle,44.8
74,6617,0,2025-01-11,T-Shirt,40.55
75,270,270,2023-04-29,Water Bottle,12.0
76,7808,0,2024-05-13,Gatorade,41.94
77,9715,0,2024-04-09,Water Bottle,33.94
78,5807,0,2024-02-05,Chalk Bag,43.94
79,8512,0,2024-08-27,Protein Bar,19.26
80,9669,0,2024-01-08,Gatorade,35.9
81,9023,0,2023-11-27,Chalk Bag,14.43
82,663,663,2024-05-08,Gatorade,20.36
83,2297,0,2024-02-25,Protein Bar,30.04
84,9631,0,2023-04-24,T-Shirt,15.58
85,2150,0,2024-11-10,Protein Bar,29.89
86,4625,0,2023-10-30,Chalk Bag,8.88
87,7553,0,2024-06-09,Celsius,44.72
88,76,76,2023-05-16,Celsius,38.36
89,9042,0,2024-01-13,Water Bottle,43.15
90,5268,0,2024-05-28,Chalk Bag,18.84
91,6672,0,2025-03-18,Protein Bar,28.61
92,9355,0,2024-11-25,Chalk Bag,45.65
93,7126,0,2024-02-07,Protein Bar,12.87
94,3749,0,2024-10-23,Water Bottle,30.99
95,4545,0,2023-06-20,Protein Bar,49.28
96,9879,0,2024-09-07,Protein Bar,10.43
97,799,799,2023-07-20,Celsius,48.47
98,3496,0,2024-01-17,Protein Bar,22.2
99,3455,0,2025-03-13,Gatorade,41.7
100,7642,0,2024-11-09,Gatorade,8.95
101,3176,0,2023-06-26,Shoes Rental,33.62
102,2272,0,2025-01-22,Gatorade,6.78
103,7890,0,2024-10-04,Gatorade,7.67
104,15,15,2024-04-17,Celsius,16.15
105,6277,0,2024-02-17,Gatorade,5.96
106,7958,0,2023-05-01,Protein Bar,25.51
107,3793,0,2024-02-12,Chalk Bag,9.83
108,8286,0,2024-12-13,Shoes Rental,33.28
109,1126,0,2024-05-30,Celsius,29.22
110,1772,0,2024-02-23,Protein Bar,35.99
111,4095,0,2024-12-07,Shoes Rental,22.43
112,3355,0,2024-12-21,Water Bottle,38.45
113,9352,0,2024-09-07,Protein Bar,9.0
114,3532,0,2023-10-31,Water Bottle,8.17
115,8122,0,2023-08-12,Shoes Rental,45.09
116,7105,0,2025-01-07,Chalk Bag,17.65
117,2675,0,2024-04-04,Celsius,35.42
118,3896,0,2023-10-24,T-Shirt,11.16
119,1427,0,2023-07-09,Gatorade,48.33
120,8255,0,2023-12-04,Water Bottle,31.96
121,8717,0,2025-02-22,Shoes Rental,26.3
122,7540,0,2024-12-12,Shoes Rental,14.36
123,3305,0,2023-05-20,Chalk Bag,5.51
124,8119,0,2024-07-05,Chalk Bag,16.88
125,6280,0,2025-02-21,Shoes Rental,36.08
126,9955,0,2024-11-11,Shoes Rental,14.03
127,7695,0,2023-07-26,Water Bottle,12.28
128,5634,0,2024-12-07,Celsius,10.39
129,192,192,2023-04-09,Shoes Rental,18.54
130,3867,0,2024-11-03,T-Shirt,43.3
131,857,857,2023-11-21,Water Bottle,24.28
132,3550,0,2023-11-20,Water Bottle,22.98
133,5807,0,2024-10-27,T-Shirt,10.9
134,2470,0,2025-02-22,Water Bottle,27.01
135,576,576,2023-08-09,Chalk Bag,12.22
136,5471,0,2024-02-15,Celsius,49.27
137,8701,0,2023-06-03,Shoes Rental,6.59
138,4378,0,2024-04-04,Shoes Rental,37.36
139,9569,0,2024-03-04,Water Bottle,19.86
140,6099,0,2025-03-15,Protein Bar,31.58
141,7868,0,2023-08-29,Celsius,38.83
142,3377,0,2023-12-02,Shoes Rental,17.38
143,9698,0,2024-06-09,Celsius,7.39
144,5408,0,2024-10-26,T-Shirt,39.14
145,5767,0,2025-02-02,Gatorade,38.75
146,9234,0,2024-09-10,Protein Bar,23.61
147,603,603,2023-10-20,Protein Bar,44.87
148,5032,0,2024-09-12,Chalk Bag,22.39
149,6341,0,2024-12-10,Shoes Rental,41.96
150,2160,0,2025-01-20,T-Shirt,25.72
151,9452,0,2023-04-23,Shoes Rental,8.43
152,2557,0,2025-02-10,Chalk Bag,25.37
153,9682,0,2023-04-30,Celsius,46.27
154,566,566,2023-12-16,Celsius,15.16
155,2837,0,2023-09-23,Celsius,24.23
156,4172,0,2023-04-18,Protein Bar,46.52
157,363,363,2024-09-25,Celsius,18.71
158,5499,0,2025-03-11,T-Shirt,22.87
159,9702,0,2024-08-06,Shoes Rental,34.49
160,852,852,2023-08-13,T-Shirt,29.88
161,547,547,2024-04-21,Gatorade,32.85
162,7036,0,2025-03-04,T-Shirt,17.64
163,6389,0,2023-09-27,Shoes Rental,25.18
164,6871,0,2024-09-04,Shoes Rental,21.63
165,2214,0,2024-01-15,Water Bottle,27.58
166,3481,0,2024-10-25,T-Shirt,18.07
167,3079,0,2025-02-16,T-Shirt,12.0
168,8784,0,2023-07-21,Water Bottle,42.32
169,3547,0,2024-08-06,Water Bottle,35.16
170,7909,0,2023-03-28,Chalk Bag,6.16
171,716,716,2024-07-28,Chalk Bag,17.92
172,5064,0,2023-10-14,Shoes Rental,16.3
173,4662,0,2023-07-08,T-Shirt,12.63
174,6917,0,2023-10-22,Gatorade,28.12
175,1,1,2023-07-08,Protein Bar,44.83
176,2377,0,2023-07-25,T-Shirt,48.53
177,7133,0,2023-11-29,T-Shirt,23.3
178,7569,0,2024-01-16,T-Shirt,27.12
179,4303,0,2024-12-24,T-Shirt,46.21
180,2871,0,2023-05-25,Chalk Bag,49.1
181,7295,0,2023-07-14,Water Bottle,6.59
182,9805,0,2023-04-22,Celsius,42.35
183,1821,0,2025-01-12,Protein Bar,15.85
184,317,317,2024-11-20,Gatorade,14.43
185,8755,0,2024-10-31,Protein Bar,41.86
186,4589,0,2024-08-05,T-Shirt,36.9
187,7181,0,2023-11-12,Gatorade,31.98
188,1021,0,2024-12-21,Celsius,5.77
189,824,824,2024-07-04,Chalk Bag,33.93
190,5177,0,2024-07-21,T-Shirt,23.67
191,2264,0,2023-05-12,Protein Bar,29.74
192,7087,0,2023-12-31,Celsius,39.45
193,745,745,2023-08-01,Chalk Bag,25.25
194,8511,0,2024-05-23,T-Shirt,22.93
195,2535,0,2023-12-25,Protein Bar,48.43
196,9246,0,2024-12-14,Water Bottle,13.47
197,1004,0,2023-06-12,Chalk Bag,18.12
198,5070,0,2024-07-02,Water Bottle,34.57
199,2614,0,2024-12-24,Water Bottle,28.48
200,7442,0,2023-07-09,T-Shirt,5.33
201,1908,0,2024-05-07,T-Shirt,23.61
202,8328,0,2025-03-17,Shoes Rental,9.34
203,9846,0,2024-12-13,Water Bottle,35.13
204,5765,0,2024-10-12,Gatorade,47.56
205,4649,0,2023-10-09,Celsius,16.32
206,5941,0,2023-08-21,Shoes Rental,28.53
207,2573,0,2023-04-12,Shoes Rental,39.29
208,4094,0,2023-07-31,Gatorade,14.08
209,9609,0,2023-05-19,Celsius,35.11
210,1603,0,2024-11-05,Shoes Rental,13.06
211,1284,0,2023-06-29,Chalk Bag,15.35
212,2603,0,2023-12-11,Protein Bar,11.0
213,5562,0,2023-12-31,Gatorade,17.69
214,3608,0,2024-08-12,Water Bottle,32.27
215,8871,0,2023-04-20,Chalk Bag,29.7
216,5240,0,2023-08-21,Celsius,36.43
217,247,247,2024-06-21,Water Bottle,19.67
218,864,864,2024-10-02,Water Bottle,36.0
219,1311,0,2023-12-22,Celsius,25.78
220,18,18,2023-10-25,Gatorade,24.64
221,5811,0,2023-09-03,Celsius,23.19
222,626,626,2024-06-16,Protein Bar,22.84
223,8682,0,2024-11-08,Chalk Bag,17.95
224,6434,0,2025-03-20,Shoes Rental,18.28
225,9839,0,2024-09-26,T-Shirt,18.58
226,1203,0,2023-03-29,Protein Bar,40.3
227,7243,0,2024-12-07,Celsius,30.25
228,181,181,2024-11-15,Protein Bar,34.26
229,4710,0,2024-11-29,Water Bottle,39.3
230,7131,0,2024-12-03,Celsius,41.66
231,382,382,2024-10-29,Gatorade,16.04
232,9320,0,2023-09-23,Celsius,6.45
233,7413,0,2024-03-08,Water Bottle,19.36
234,7680,0,2024-07-20,Gatorade,31.27
235,8005,0,2023-05-15,Shoes Rental,35.45
236,5180,0,2024-03-11,Celsius,9.51
237,7082,0,2024-06-01,Protein Bar,24.37
238,5566,0,2025-01-06,T-Shirt,28.12
239,9996,0,2024-10-14,Shoes Rental,39.01
240,4553,0,2024-02-25,Water Bottle,37.5
241,943,943,2025-02-11,Shoes Rental,47.19
242,1209,0,2024-09-30,Celsius,43.6
243,8912,0,2025-01-14,Celsius,26.72
244,5894,0,2025-03-20,Chalk Bag,26.35
245,5265,0,2023-08-02,Water Bottle,30.65
246,1449,0,2025-02-15,Water Bottle,11.04
247,7045,0,2025-02-14,Protein Bar,12.41
248,7021,0,2025-01-09,Chalk Bag,25.58
249,8261,0,2025-01-10,Celsius,34.99
250,6761,0,2025-03-15,Shoes Rental,19.0
251,2267,0,2023-06-20,Gatorade,15.52
252,5827,0,2023-04-30,Protein Bar,6.62
253,4877,0,2024-07-15,Protein Bar,46.27
254,4191,0,2023-04-23,Gatorade,17.31
255,939,939,2023-07-25,Gatorade,26.86
256,3000,0,2024-10-20,Shoes Rental,18.83
257,9737,0,2024-06-20,Celsius,26.61
258,5811,0,2024-01-29,Celsius,47.16
259,897,897,2024-08-13,Shoes Rental,22.55
260,2345,0,2025-01-17,Water Bottle,23.13
261,833,833,2024-09-28,Gatorade,8.34
262,1353,0,2024-10-21,Protein Bar,41.07
263,7983,0,2024-06-12,Celsius,33.24
264,210,210,2024-05-15,Water Bottle,31.11
265,4465,0,2024-09-10,Chalk Bag,7.61
266,1037,0,2024-04-08,Gatorade,46.44
267,896,896,2024-12-24,Gatorade,47.06
268,561,561,2023-10-26,Gatorade,12.32
269,389,389,2023-05-23,Gatorade,44.82
270,807,807,2023-10-11,T-Shirt,25.84
271,9461,0,2024-03-20,Chalk Bag,14.29
272,5002,0,2025-02-19,Gatorade,10.11
273,6216,0,2024-10-29,Gatorade,19.13
274,3825,0,2023-11-09,Shoes Rental,6.0
275,4337,0,2023-04-07,Protein Bar,8.88
276,9583,0,2023-08-07,Shoes Rental,36.52
277,305,305,2024-07-20,Shoes Rental,37.09
278,2614,0,2023-04-13,Protein Bar,10.33
279,265,265,2024-06-18,Shoes Rental,33.68
280,2414,0,2024-04-01,T-Shirt,15.92
281,9109,0,2023-06-03,Water Bottle,42.45
282,3759,0,2025-03-20,Water Bottle,6.68
283,7413,0,2024-04-15,T-Shirt,33.59
284,4530,0,2025-02-04,Chalk Bag,39.42
285,22,22,2025-03-15,Gatorade,22.31
286,8835,0,2023-04-15,Gatorade,13.28
287,4187,0,2023-10-02,Celsius,15.09
288,8918,0,2023-04-18,Celsius,7.04
289,2543,0,2024-01-30,Chalk Bag,25.6
290,9041,0,2024-07-31,Protein Bar,26.21
291,3632,0,2024-04-29,T-Shirt,18.98
292,5921,0,2023-08-23,T-Shirt,44.75
293,6822,0,2024-05-06,T-Shirt,29.85
294,7740,0,2024-02-26,Water Bottle,15.87
295,7330,0,2024-01-14,Gatorade,43.92
296,2927,0,2023-12-14,Gatorade,6.1
297,6198,0,2025-03-11,Water Bottle,10.71
298,2912,0,2024-03-11,Protein Bar,47.07
299,3592,0,2025-03-18,Gatorade,26.7
300,2272,0,2024-08-24,Celsius,32.77
301,9675,0,2024-03-07,Water Bottle,21.95
302,362,362,2023-06-24,Chalk Bag,28.26
303,9335,0,2023-05-15,Gatorade,14.72
304,930,930,2024-12-24,Gatorade,10.33
305,6528,0,2023-08-21,Shoes Rental,35.42
306,852,852,2024-11-19,Shoes Rental,33.69
307,2103,0,2024-03-20,Protein Bar,21.44
308,6587,0,2024-04-01,Water Bottle,23.57
309,9494,0,2025-03-22,Chalk Bag,30.94
310,1410,0,2025-01-13,T-Shirt,28.6
311,1078,0,2023-05-10,Water Bottle,15.06
312,2680,0,2024-06-18,Shoes Rental,15.61
313,6640,0,2024-01-17,T-Shirt,39.05
314,5099,0,2024-08-20,Water Bottle,15.49
315,9521,0,2023-10-09,Gatorade,43.57
316,8115,0,2024-12-20,Gatorade,21.06
317,1893,0,2024-11-16,Celsius,10.68
318,487,487,2023-09-10,Gatorade,48.38
319,8608,0,2023-11-12,Shoes Rental,37.93
320,1970,0,2023-04-29,T-Shirt,31.1
321,127,127,2024-05-04,Gatorade,8.34
322,1190,0,2023-12-29,Chalk Bag,42.49
323,8451,0,2023-10-27,T-Shirt,39.75
324,494,494,2023-09-11,Protein Bar,29.56
325,4794,0,2024-12-19,Gatorade,18.93
326,2421,0,2024-10-31,Celsius,11.22
327,1537,0,2023-07-07,Chalk Bag,27.24
328,8152,0,2024-08-20,Water Bottle,45.0
329,9204,0,2024-09-16,Chalk Bag,36.22
330,1439,0,2024-01-19,Chalk Bag,43.99
331,2034,0,2023-07-16,Protein Bar,32.65
332,8634,0,2023-12-12,Protein Bar,40.99
333,9171,0,2023-06-23,Water Bottle,46.43
334,1001,0,2025-03-08,Water Bottle,11.83
335,6176,0,2024-08-09,Celsius,30.98
336,1150,0,2024-03-30,Celsius,41.41
337,4917,0,2023-09-18,Protein Bar,16.35
338,5033,0,2023-06-18,Chalk Bag,13.02
339,4135,0,2023-07-17,T-Shirt,41.56
340,8872,0,2024-08-14,Shoes Rental,8.07
341,1709,0,2023-08-10,Celsius,24.83
342,1336,0,2024-10-30,Celsius,26.97
343,4029,0,2025-01-08,Protein Bar,28.27
344,539,539,2023-05-23,Gatorade,40.35
345,3621,0,2024-10-25,Protein Bar,46.63
346,7205,0,2023-12-09,Gatorade,21.48
347,1102,0,2023-06-29,Chalk Bag,13.66
348,1837,0,2023-05-09,Chalk Bag,43.98
349,7661,0,2024-08-22,T-Shirt,20.44
350,3380,0,2024-05-07,T-Shirt,22.22
351,6266,0,2023-07-26,Water Bottle,24.49
352,3781,0,2024-12-13,Celsius,11.63
353,5002,0,2024-02-15,Gatorade,42.22
354,5170,0,2024-02-20,T-Shirt,48.54
355,8868,0,2024-11-27,Protein Bar,24.83
356,5239,0,2024-05-13,Protein Bar,26.87
357,7755,0,2023-12-09,T-Shirt,6.57
358,1723,0,2023-12-13,Water Bottle,44.3
359,4382,0,2025-01-03,Water Bottle,45.92
360,9005,0,2023-11-08,Water Bottle,12.76
361,6106,0,2024-09-07,Chalk Bag,37.58
362,8110,0,2023-12-18,Protein Bar,47.7
363,1228,0,2023-11-01,Water Bottle,15.75
364,9839,0,2023-10-13,Water Bottle,23.95
365,1324,0,2024-01-02,Celsius,48.38
366,2261,0,2024-11-21,Celsius,37.5
367,2749,0,2024-08-03,Water Bottle,41.03
368,2442,0,2023-04-06,Shoes Rental,16.21
369,7201,0,2024-05-10,Chalk Bag,6.95
370,1050,0,2024-05-31,T-Shirt,9.04
371,8654,0,2024-06-06,T-Shirt,8.61
372,7108,0,2023-10-03,Chalk Bag,12.83
373,7789,0,2023-10-11,Chalk Bag,21.55
374,3463,0,2023-07-23,Water Bottle,25.93
375,7811,0,2023-04-16,T-Shirt,22.13
376,8936,0,2023-05-03,Chalk Bag,20.05
377,8990,0,2023-09-26,Chalk Bag,26.59
378,8765,0,2024-01-01,Protein Bar,37.39
379,63,63,2023-05-30,Chalk Bag,49.61
380,7388,0,2024-06-24,Gatorade,49.31
381,7353,0,2024-12-22,Shoes Rental,48.59
382,813,813,2024-08-28,Protein Bar,17.24
383,3003,0,2023-09-26,T-Shirt,20.47
384,2189,0,2024-01-25,Gatorade,23.32
385,5009,0,2023-06-08,Protein Bar,41.85
386,6119,0,2023-10-30,Shoes Rental,16.68
387,3596,0,2024-05-12,Celsius,47.61
388,3622,0,2024-11-07,Protein Bar,45.2
389,6395,0,2023-09-28,Chalk Bag,30.16
390,2863,0,2024-07-19,Water Bottle,28.76
391,2331,0,2023-06-21,Shoes Rental,32.48
392,4197,0,2023-09-01,Chalk Bag,22.97
393,9029,0,2025-01-20,Celsius,39.64
394,4578,0,2023-07-14,Protein Bar,49.33
395,9305,0,2023-12-11,Gatorade,22.72
396,520,520,2023-04-25,T-Shirt,37.94
397,3399,0,2025-03-02,Chalk Bag,17.52
398,1179,0,2024-12-02,T-Shirt,34.67
399,4763,0,2023-05-27,Water Bottle,20.01
400,292,292,2024-07-31,Water Bottle,16.79
401,1881,0,2023-12-24,Shoes Rental,47.02
402,5925,0,2024-08-25,Protein Bar,45.58
403,4311,0,2024-11-14,Protein Bar,9.06
404,5662,0,2024-01-29,Chalk Bag,33.81
405,5320,0,2023-04-29,Chalk Bag,28.7
406,268,268,2023-08-05,Protein Bar,22.75
407,5633,0,2023-07-20,T-Shirt,22.11
408,4443,0,2023-11-18,Chalk Bag,21.3
409,9419,0,2024-05-11,T-Shirt,40.17
410,3311,0,2023-04-27,Gatorade,37.95
411,647,647,2024-12-02,Water Bottle,36.21
412,4568,0,2023-10-19,Water Bottle,48.09
413,45,45,2023-03-29,Gatorade,7.57
414,3611,0,2024-09-27,Celsius,48.65
415,6579,0,2023-10-01,Protein Bar,30.53
416,5252,0,2023-12-27,T-Shirt,40.56
417,5210,0,2023-09-06,Chalk Bag,44.57
418,8387,0,2025-01-05,Water Bottle,15.45
419,823,823,2024-04-19,Protein Bar,39.83
420,6231,0,2023-05-11,Chalk Bag,40.43
421,6425,0,2023-06-27,Celsius,42.6
422,4082,0,2025-03-03,Chalk Bag,21.91
423,8743,0,2023-05-16,T-Shirt,30.25
424,3773,0,2023-09-01,T-Shirt,44.59
425,455,455,2024-02-12,Gatorade,18.25
426,3626,0,2023-11-25,Gatorade,41.96
427,7557,0,2023-09-30,Protein Bar,28.65
428,2824,0,2024-12-11,Water Bottle,16.06
429,1583,0,2023-04-08,T-Shirt,41.26
430,6536,0,2024-12-24,Celsius,12.1
431,4970,0,2024-01-07,Water Bottle,18.69
432,677,677,2023-09-10,Gatorade,13.32
433,1716,0,2024-09-29,Gatorade,11.51
434,6723,0,2024-07-01,Chalk Bag,23.27
435,5709,0,2024-07-09,Water Bottle,28.41
436,5979,0,2024-05-14,T-Shirt,47.81
437,62,62,2023-10-07,Water Bottle,15.6
438,9545,0,2024-11-02,Water Bottle,37.62
439,2528,0,2025-02-19,Protein Bar,11.49
440,4831,0,2024-11-05,Water Bottle,29.51
441,5753,0,2025-01-09,Protein Bar,43.35
442,5647,0,2024-10-28,T-Shirt,48.31
443,2551,0,2024-01-04,Chalk Bag,14.34
444,7992,0,2024-06-27,Shoes Rental,36.08
445,2136,0,2024-01-04,Shoes Rental,38.8
446,7232,0,2023-05-23,Water Bottle,13.09
447,6936,0,2024-08-31,Shoes Rental,49.35
448,8181,0,2023-10-09,Protein Bar,5.92
449,3733,0,2024-03-31,Chalk Bag,37.64
450,3801,0,2023-09-13,Protein Bar,40.68
451,4270,0,2024-07-28,Shoes Rental,6.75
452,6662,0,2024-11-27,Water Bottle,47.15
453,4025,0,2024-05-09,Celsius,36.84
454,4308,0,2023-10-07,Protein Bar,45.91
455,4776,0,2023-10-09,Water Bottle,45.04
456,6656,0,2023-04-07,Celsius,43.93
457,3691,0,2024-12-19,Shoes Rental,37.79
458,3046,0,2024-11-28,Celsius,18.68
459,6552,0,2024-05-30,Water Bottle,27.7
460,6669,0,2024-01-01,Protein Bar,7.64
461,5354,0,2024-09-16,Protein Bar,22.6
462,948,948,2023-07-20,Water Bottle,49.52
463,2460,0,2023-05-07,Protein Bar,41.68
464,1471,0,2024-05-20,T-Shirt,42.3
465,8821,0,2024-09-10,Water Bottle,18.67
466,4353,0,2024-06-07,T-Shirt,11.83
467,1144,0,2024-02-29,T-Shirt,30.9
468,5119,0,2023-04-12,Gatorade,48.23
469,6927,0,2023-10-14,Shoes Rental,17.1
470,3374,0,2024-05-31,Celsius,16.0
471,4360,0,2024-10-23,Water Bottle,27.16
472,14,14,2024-02-14,Protein Bar,20.0
473,8205,0,2023-05-18,Protein Bar,38.17
474,1980,0,2025-01-09,Shoes Rental,19.16
475,3299,0,2025-01-01,Gatorade,8.86
476,8867,0,2024-09-10,Gatorade,11.01
477,4262,0,2023-11-27,Shoes Rental,19.57
478,4372,0,2024-07-02,T-Shirt,16.66
479,3965,0,2023-04-06,Protein Bar,45.56
480,6275,0,2024-12-17,T-Shirt,27.28
481,5782,0,2024-08-25,T-Shirt,19.05
482,9321,0,2024-06-21,Protein Bar,41.37
483,7700,0,2023-08-18,Shoes Rental,13.69
484,7901,0,2023-09-04,Gatorade,15.21
485,1334,0,2024-04-15,Protein Bar,40.11
486,868,868,2024-11-07,Gatorade,49.67
487,3555,0,2023-07-16,Celsius,25.38
488,5530,0,2024-04-16,Shoes Rental,20.32
489,3568,0,2024-11-11,Protein Bar,41.93
490,3011,0,2023-11-23,Gatorade,8.96
491,6070,0,2024-10-06,Shoes Rental,17.53
492,5047,0,2023-07-25,T-Shirt,26.25
493,5513,0,2024-05-28,Chalk Bag,34.33
494,797,797,2024-03-28,Shoes Rental,13.27
495,5973,0,2024-11-01,T-Shirt,47.16
496,2144,0,2024-05-29,Protein Bar,30.2
497,6208,0,2025-01-02,Protein Bar,27.37
498,1368,0,2024-01-23,Chalk Bag,12.12
499,2081,0,2023-05-31,Chalk Bag,26.62
500,6705,0,2024-08-05,T-Shirt,45.28
501,3272,0,2023-09-07,Celsius,27.9
502,4040,0,2025-03-11,Shoes Rental,8.72
503,4100,0,2023-11-11,T-Shirt,18.34
504,4026,0,2023-07-21,Protein Bar,28.26
505,218,218,2025-01-05,Shoes Rental,26.42
506,8868,0,2024-11-06,Chalk Bag,41.75
507,7516,0,2024-09-19,Celsius,24.19
508,5972,0,2024-08-30,Gatorade,8.77
509,1255,0,2024-11-15,Gatorade,24.33
510,2178,0,2024-06-29,Celsius,29.31
511,3389,0,2024-03-06,Celsius,8.42
512,9608,0,2023-09-04,Shoes Rental,28.07
513,5729,0,2024-07-04,Protein Bar,47.19
514,7862,0,2024-02-11,Gatorade,5.77
515,5793,0,2023-04-01,Celsius,37.91
516,2124,0,2024-02-02,Shoes Rental,46.61
517,2371,0,2024-10-31,Chalk Bag,42.94
518,3059,0,2024-05-16,Water Bottle,7.13
519,197,197,2024-06-06,Chalk Bag,13.27
520,8949,0,2025-03-24,Celsius,5.9
521,4024,0,2023-12-28,Celsius,13.28
522,1404,0,2023-04-02,Protein Bar,31.81
523,7765,0,2023-04-22,Celsius,37.23
524,8678,0,2024-01-10,Celsius,48.27
525,7476,0,2023-08-11,Gatorade,42.46
526,4737,0,2023-11-02,Protein Bar,18.51
527,6021,0,2024-12-21,Shoes Rental,32.74
528,2163,0,2025-02-14,Celsius,22.45
529,2641,0,2023-04-19,Shoes Rental,38.47
530,9495,0,2024-05-14,Shoes Rental,26.91
531,8662,0,2023-11-14,Celsius,26.11
532,9516,0,2023-11-02,Gatorade,12.78
533,6192,0,2023-05-22,Water Bottle,19.15
534,8947,0,2023-08-05,Celsius,49.07
535,9134,0,2023-05-04,Chalk Bag,43.25
536,3922,0,2024-09-28,Chalk Bag,10.92
537,3196,0,2023-10-16,Celsius,11.45
538,8232,0,2024-10-31,T-Shirt,38.97
539,8803,0,2023-03-30,Protein Bar,8.3
540,7199,0,2023-11-21,Water Bottle,37.53
541,7599,0,2024-08-20,Gatorade,47.67
542,2405,0,2025-03-07,Gatorade,6.19
543,4441,0,2023-12-05,Shoes Rental,45.3
544,9685,0,2024-06-17,Celsius,21.83
545,1567,0,2023-03-29,Gatorade,43.82
546,95,95,2023-10-10,Celsius,23.55
547,8881,0,2024-07-15,Chalk Bag,29.33
548,946,946,2024-09-22,T-Shirt,18.6
549,8373,0,2024-08-30,T-Shirt,18.52
550,729,729,2023-05-30,Shoes Rental,34.95
551,6418,0,2025-02-07,Shoes Rental,29.59
552,7346,0,2024-08-22,Gatorade,28.76
553,4616,0,2023-08-11,Gatorade,47.79
554,7222,0,2024-01-04,T-Shirt,9.3
555,4253,0,2024-11-08,Celsius,14.99
556,5939,0,2024-02-01,Protein Bar,18.59
557,5608,0,2023-09-14,Chalk Bag,21.75
558,6100,0,2024-04-02,Chalk Bag,22.02
559,4318,0,2025-02-26,Protein Bar,17.16
560,6121,0,2024-04-30,Chalk Bag,43.8
561,3724,0,2024-11-17,Chalk Bag,37.53
562,1992,0,2024-08-14,T-Shirt,21.11
563,1410,0,2024-02-24,Water Bottle,16.05
564,2616,0,2024-03-15,Celsius,23.83
